source_index,original_4mm_grid_index,mni_x_mm,mni_y_mm,mni_z_mm,rest_beta_power,hold_beta_power,hold_vs_rest_db,rest_vs_hold_erd_db
26,4270,-18.0,-48.0,-64.0,2.7099306927317585e-23,3.1677781399496425e-23,0.6779657371459731,-0.6779657371459731
27,4272,-10.0,-48.0,-64.0,2.7831165089290327e-23,3.18847285472754e-23,0.5905133646564735,-0.5905133646564735
28,4274,-2.0,-48.0,-64.0,2.7062568317590415e-23,3.04340690361155e-23,0.509910113824977,-0.509910113824977
29,4276,6.000000000000001,-48.0,-64.0,2.5530734174752147e-23,2.85119106610134e-23,0.4796301776769648,-0.4796301776769648
30,4278,14.000000000000002,-48.0,-64.0,2.3657793324599715e-23,2.655284716829894e-23,0.5013686232224118,-0.5013686232224118
31,4280,22.0,-48.0,-64.0,2.1917485014860755e-23,2.476078136635931e-23,0.5297362713025113,-0.5297362713025113
32,4282,30.000000000000004,-48.0,-64.0,1.909662893726224e-23,2.1944317592592758e-23,0.6036537054640299,-0.6036537054640299
33,4284,38.0,-48.0,-64.0,1.7341854455223502e-23,2.0788586753470954e-23,0.7872942918922385,-0.7872942918922385
34,4346,-18.0,-40.0,-64.0,2.5213733752415968e-23,2.885619308118953e-23,0.5860187271566029,-0.5860187271566029
35,4348,-10.0,-40.0,-64.0,2.8100739623951286e-23,3.112521492800237e-23,0.44394608155390924,-0.44394608155390924
36,4350,-2.0,-40.0,-64.0,2.7640107562604716e-23,3.0236103219256644e-23,0.3898609047549681,-0.3898609047549681
37,4352,6.000000000000001,-40.0,-64.0,2.6313534260678096e-23,2.8703952793014786e-23,0.37762523537914844,-0.37762523537914844
38,4354,14.000000000000002,-40.0,-64.0,2.4763014129093283e-23,2.698445343890766e-23,0.3731012054897432,-0.3731012054897432
39,4356,22.0,-40.0,-64.0,1.7797875590286858e-23,2.1714959231663115e-23,0.8639085167685392,-0.8639085167685392
40,4424,-10.0,-31.999999999999993,-64.0,2.174169251485645e-23,2.5012263281068446e-23,0.6085964207534513,-0.6085964207534513
41,4426,-2.0,-31.999999999999993,-64.0,2.7610203629637903e-23,2.9562071516558643e-23,0.2966525366306426,-0.2966525366306426
42,4428,6.000000000000001,-31.999999999999993,-64.0,2.4816660164546106e-23,2.608154196179985e-23,0.21589930078306585,-0.21589930078306585
43,7610,-34.0,-80.0,-56.0,2.3507207648053377e-23,2.7134423511229035e-23,0.6231955551337368,-0.6231955551337368
44,7612,-26.000000000000007,-80.0,-56.0,2.3800403842485766e-23,2.796205207687476e-23,0.6998471403503669,-0.6998471403503669
45,7614,-18.0,-80.0,-56.0,2.2567935584805003e-23,2.7424759314681456e-23,0.8465099125457508,-0.8465099125457508
46,7616,-10.0,-80.0,-56.0,2.1474276794747946e-23,2.3924999991934958e-23,0.46933399612368054,-0.46933399612368054
47,7622,14.000000000000002,-80.0,-56.0,2.1619944651037416e-23,2.5596643961909957e-23,0.7332844985454117,-0.7332844985454117
48,7624,22.0,-80.0,-56.0,2.029426179102461e-23,2.4028305675085485e-23,0.7334988980194861,-0.7334988980194861
49,7626,30.000000000000004,-80.0,-56.0,1.8307105336258702e-23,2.1585219788587572e-23,0.7153679475046575,-0.7153679475046575
50,7684,-42.0,-72.0,-56.0,2.097497339430754e-23,2.435488108629426e-23,0.6488459483175284,-0.6488459483175284
51,7686,-34.0,-72.0,-56.0,2.5614595573825982e-23,3.010194864341551e-23,0.7010710723091031,-0.7010710723091031
52,7688,-26.000000000000007,-72.0,-56.0,2.6358973726783248e-23,3.145289149045203e-23,0.767320794524347,-0.767320794524347
53,7690,-18.0,-72.0,-56.0,2.53382201374078e-23,3.06554860178435e-23,0.8273210094675818,-0.8273210094675818
54,7692,-10.0,-72.0,-56.0,2.3336997283630235e-23,2.7662607537935177e-23,0.7384813959336373,-0.7384813959336373
55,7694,-2.0,-72.0,-56.0,2.3973680504305208e-23,2.708949032075117e-23,0.530661207955294,-0.530661207955294
56,7696,6.000000000000001,-72.0,-56.0,2.4172805136888474e-23,2.772391274074175e-23,0.59527472160778,-0.59527472160778
57,7698,14.000000000000002,-72.0,-56.0,2.333836742107168e-23,2.7117817274696835e-23,0.651842572896374,-0.651842572896374
58,7700,22.0,-72.0,-56.0,2.1368764486588905e-23,2.512765949582232e-23,0.7037262575513867,-0.7037262575513867
59,7702,30.000000000000004,-72.0,-56.0,1.942264706713064e-23,2.3344237994491555e-23,0.7987128361915823,-0.7987128361915823
60,7704,38.0,-72.0,-56.0,1.8583351199600164e-23,2.248474177104315e-23,0.8276386968382592,-0.8276386968382592
