metric,scenario,comparison,analysis_unit,configuration_count,mean_difference,mean_difference_ci95_low,mean_difference_ci95_high,median_difference,cohen_dz,wins,ties,losses,wilcoxon_statistic,wilcoxon_p,holm_adjusted_p
surface_auc_tie_corrected,deep_plus_surface,OASTER-ERP - eLORETA,source configuration (49 SNR cells averaged),136,0.04875562907437182,0.0387569856750935,0.058511303981133446,0.043628314261293655,0.8211271814239071,120,0,16,791.0,4.4725547140858515e-17,4.4725547140858515e-17
surface_auc_tie_corrected,deep_plus_surface,OASTER-ERP - LCMV,source configuration (49 SNR cells averaged),136,0.29428784174335704,0.258487560856349,0.33077643052507993,0.22975022182979832,1.3575514362025327,133,0,3,21.0,7.319300715287995e-24,3.6596503576439974e-23
surface_auc_tie_corrected,deep_plus_surface,OASTER-ERP - Dipole fitting (grid),source configuration (49 SNR cells averaged),136,0.4507564557396997,0.4446477767324179,0.4563645095221942,0.4575903195498124,12.723221903959582,136,0,0,0.0,4.597822277805021e-24,3.2184755944635145e-23
surface_auc_tie_corrected,deep_plus_surface,OASTER-ERP - RAP-MUSIC,source configuration (49 SNR cells averaged),136,0.4459099836380933,0.4395690708039149,0.4517269284853707,0.45301903678193645,12.394511164334771,136,0,0,0.0,4.597822277805021e-24,3.2184755944635145e-23
surface_auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - MNE,source configuration (49 SNR cells averaged),67,0.04649073798702643,0.029984765153026255,0.06257341197900124,0.057189708009073525,0.6773019891824368,48,0,19,384.0,2.402695187311621e-06,9.610780749246485e-06
surface_auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - dSPM,source configuration (49 SNR cells averaged),67,0.028050749636500966,0.013158564827834295,0.04136094426116971,0.03925853963716419,0.46832107372315546,46,0,21,511.0,8.74918170116402e-05,0.00026247545103492064
surface_auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - sLORETA,source configuration (49 SNR cells averaged),67,0.0345639539117241,0.016941824057328865,0.05185022975566115,0.03306234856800627,0.47598528680187047,47,0,20,549.0,0.0002282352577619227,0.00026247545103492064
surface_auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - eLORETA,source configuration (49 SNR cells averaged),67,0.03430251306330958,0.018172498049756753,0.05019039645876894,0.03606548141999266,0.5089003566664031,48,0,19,524.0,0.0001221915181191286,0.00026247545103492064
surface_auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - LCMV,source configuration (49 SNR cells averaged),67,0.21052358329030316,0.180178898589491,0.24040491612401393,0.2110681695392116,1.6784456580459886,63,0,4,11.0,1.8384822919315747e-12,9.192411459657874e-12
surface_auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - Dipole fitting (grid),source configuration (49 SNR cells averaged),67,0.37184925535947244,0.35548095494504195,0.3876737198376834,0.3791504697116942,5.497375829533096,67,0,0,0.0,1.119700309921998e-12,7.837902169453987e-12
surface_auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - RAP-MUSIC,source configuration (49 SNR cells averaged),67,0.36922830910097565,0.35306776227472164,0.3851365753938879,0.37722734642043654,5.417814027348276,67,0,0,0.0,1.119700309921998e-12,7.837902169453987e-12
deep_auc_tie_corrected,all,OASTER-ERP - MNE,source configuration (49 SNR cells averaged),233,0.20384222358471285,0.17881492511167557,0.2307040670345391,0.1986394557823129,0.9913224102133033,196,2,35,1869.0,8.45315372348091e-30,4.2265768617404547e-29
deep_auc_tie_corrected,all,OASTER-ERP - dSPM,source configuration (49 SNR cells averaged),233,0.16259963212752912,0.13839581326092668,0.18649689060173424,0.13877551020408163,0.8525270682189439,194,1,38,2801.0,1.2102282658788316e-25,3.630684797636495e-25
