source_index,original_4mm_grid_index,mni_x_mm,mni_y_mm,mni_z_mm,rest_beta_power,hold_beta_power,hold_vs_rest_db,rest_vs_hold_erd_db
135,11340,-10.0,-72.0,-48.00000000000001,1.2043749368966793e-24,1.4161673612551249e-24,0.7035287163344138,-0.7035287163344138
136,11342,-2.0,-72.0,-48.00000000000001,1.184359602760006e-24,1.3489680136388695e-24,0.5651806627242066,-0.5651806627242066
137,11344,6.000000000000001,-72.0,-48.00000000000001,1.1777474779975149e-24,1.3560346297240882e-24,0.6121859754200123,-0.6121859754200123
138,11346,14.000000000000002,-72.0,-48.00000000000001,1.1294647280496157e-24,1.308304522137476e-24,0.6383616960319745,-0.6383616960319745
139,11348,22.0,-72.0,-48.00000000000001,1.0367865858277095e-24,1.2095714906299302e-24,0.6694217247372202,-0.6694217247372202
140,11350,30.000000000000004,-72.0,-48.00000000000001,9.69507444102271e-25,1.1251593221241411e-24,0.6466287469105348,-0.6466287469105348
141,11352,38.0,-72.0,-48.00000000000001,8.251451807416642e-25,9.613805737808515e-25,0.6636497475539788,-0.6636497475539788
142,11354,46.000000000000014,-72.0,-48.00000000000001,6.99612511291229e-25,8.156893719724399e-25,0.6666723626319139,-0.6666723626319139
143,11406,-50.000000000000014,-64.0,-48.00000000000001,1.1030374440694762e-24,1.258143822264601e-24,0.5714003408337778,-0.5714003408337778
144,11408,-42.0,-64.0,-48.00000000000001,1.242628587476526e-24,1.4405897710953138e-24,0.6419898612625291,-0.6419898612625291
145,11410,-34.0,-64.0,-48.00000000000001,1.3825257178680443e-24,1.6172850420961075e-24,0.6811335103830246,-0.6811335103830246
146,11412,-26.000000000000007,-64.0,-48.00000000000001,1.4659360762705808e-24,1.7230167813285197e-24,0.7017447444431877,-0.7017447444431877
147,11414,-18.0,-64.0,-48.00000000000001,1.4532098871367852e-24,1.713103250009814e-24,0.7145519501645012,-0.7145519501645012
148,11416,-10.0,-64.0,-48.00000000000001,1.358261871500829e-24,1.5923421019363867e-24,0.6905286856452953,-0.6905286856452953
149,11418,-2.0,-64.0,-48.00000000000001,1.2828927757334847e-24,1.4652754986573457e-24,0.5772892816305083,-0.5772892816305083
150,11420,6.000000000000001,-64.0,-48.00000000000001,1.2728526437216452e-24,1.4516697679342537e-24,0.5708970349750067,-0.5708970349750067
151,11422,14.000000000000002,-64.0,-48.00000000000001,1.2378523062759938e-24,1.4209301198281183e-24,0.59903890060052,-0.59903890060052
152,11424,22.0,-64.0,-48.00000000000001,1.154844734597736e-24,1.3324080038975608e-24,0.6211363430817021,-0.6211363430817021
153,11426,30.000000000000004,-64.0,-48.00000000000001,1.0498439060233382e-24,1.205236984082489e-24,0.5994771838234816,-0.5994771838234816
154,11428,38.0,-64.0,-48.00000000000001,9.37299424139224e-25,1.0759519890237676e-24,0.5991454253296793,-0.5991454253296793
155,11430,46.000000000000014,-64.0,-48.00000000000001,8.415007144414567e-25,9.686902850370818e-25,0.6113045520172942,-0.6113045520172942
156,11482,-50.000000000000014,-56.0,-48.00000000000001,1.0898554076772777e-24,1.2538247269730905e-24,0.608679469781839,-0.608679469781839
157,11484,-42.0,-56.0,-48.00000000000001,1.2249517668213161e-24,1.4416987252978799e-24,0.7075552602454331,-0.7075552602454331
158,11486,-34.0,-56.0,-48.00000000000001,1.37559566723004e-24,1.6336247265929789e-24,0.7466149904982128,-0.7466149904982128
159,11488,-26.000000000000007,-56.0,-48.00000000000001,1.493204126318259e-24,1.769285679350951e-24,0.7367878094763094,-0.7367878094763094
160,11490,-18.0,-56.0,-48.00000000000001,1.5300272731585681e-24,1.7989513041827347e-24,0.7032023528056488,-0.7032023528056488
161,11492,-10.0,-56.0,-48.00000000000001,1.4826657561000744e-24,1.721406848450779e-24,0.6484026929549662,-0.6484026929549662
162,11494,-2.0,-56.0,-48.00000000000001,1.3948674716787233e-24,1.5945638875388992e-24,0.5810897766013449,-0.5810897766013449
163,11496,6.000000000000001,-56.0,-48.00000000000001,1.314489367892628e-24,1.4805838891942414e-24,0.5167594163378206,-0.5167594163378206
